geom,country_code,code,name,fishing_port,landing_place,commercial_port
"SRID=4326;MULTIPOINT(16.88 58.406)",SWE,SERIS,Risö,,Y,
"SRID=4326;MULTIPOINT(12.575 56.275)",SWE,SERLD,Arild,,Y,
"SRID=4326;MULTIPOINT(15.303 56.177)",SWE,SERNB,Ronneby,Y,,Y
"SRID=4326;MULTIPOINT(11.56 57.938)",SWE,SERNG,Rönnäng,Y,,
"SRID=4326;MULTIPOINT(18.493 57.173)",SWE,SERNH,Ronehamn,Y,,Y
"SRID=4326;MULTIPOINT(19.165 59.592)",SWE,SEROA,Rödlöga,,Y,
"SRID=4326;MULTIPOINT(19.159 59.595)",SWE,SEROD,"Munkvik, Rödlöga",,Y,
"SRID=4326;MULTIPOINT(11.985 57.371)",SWE,SEROH,Rödaholme,,Y,
"SRID=4326;MULTIPOINT(22.592 65.803)",SWE,SEROK,Rörbäck,,Y,
"SRID=4326;MULTIPOINT(11.621 57.773)",SWE,SEROO,Rörö,,Y,
"SRID=4326;MULTIPOINT(17.354 61.899)",SWE,SEROR,Rönnskär,Y,,Y
"SRID=4326;MULTIPOINT(12.198 57.189)",SWE,SERRV,Rörvik,,Y,
"SRID=4326;MULTIPOINT(11.648 58.059)",SWE,SERSD,Röra Strand,,Y,
"SRID=4326;MULTIPOINT(18.915 59.428)",SWE,SERSM,Ramsmora,,Y,
"SRID=4326;MULTIPOINT(11.07 58.832)",SWE,SERSO,Ramsö,,Y,
"SRID=4326;MULTIPOINT(11.175 58.854)",SWE,SERSS,Råssö,,Y,
"SRID=4326;MULTIPOINT(11.872 58.23)",SWE,SERTN,Restenäs,,Y,
"SRID=4326;MULTIPOINT(16.529 57.164)",SWE,SERUO,Runnö,,Y,
"SRID=4326;MULTIPOINT(18.767 59.278)",SWE,SERUR,Runmarö,,Y,
"SRID=4326;MULTIPOINT(19.433 63.533)",SWE,SERUV,Rundvik,Y,,Y
"SRID=4326;MULTIPOINT(20.536 63.735)",SWE,SERVG,Rovögern,,Y,
"SRID=4326;MULTIPOINT(23.036 65.756)",SWE,SERYB,Ryssbält,,Y,
"SRID=4326;MULTIPOINT(16.352 56.802)",SWE,SERYS,Ryssby,,Y,
"SRID=4326;MULTIPOINT(17.114 58.748)",SWE,SESA2,Sand,,Y,
"SRID=4326;MULTIPOINT(11.926 57.51)",SWE,SESA3,Särö,,Y,
"SRID=4326;MULTIPOINT(11.725 57.737)",SWE,SESA4,Sanden,,Y,
"SRID=4326;MULTIPOINT(11.247 58.742)",SWE,SESA5,Sannäs,,Y,
"SRID=4326;MULTIPOINT(17.25 61.675)",SWE,SESA6,"Saltvik, Hudiksvall",,Y,
"SRID=4326;MULTIPOINT(12.138 57.282)",SWE,SESAB,Sallebacka,,Y,
"SRID=4326;MULTIPOINT(17.044 57.171)",SWE,SESAD,"Sandby, Öland",,Y,
"SRID=4326;MULTIPOINT(17.162 61.263)",SWE,SESAE,Sandarne,Y,,Y
"SRID=4326;MULTIPOINT(12.917 59.133)",SWE,SESAF,Säffle,Y,,Y
"SRID=4326;MULTIPOINT(23.494 65.844)",SWE,SESAG,Sangis,,Y,
"SRID=4326;MULTIPOINT(15.862 56.093)",SWE,SESAH,"Sandhamn, Karlskrona",,Y,
"SRID=4326;MULTIPOINT(23.669 65.827)",SWE,SESAI,Säivis,,Y,
"SRID=4326;MULTIPOINT(12 57.365)",SWE,SESAM,Skallahamn,,Y,
"SRID=4326;MULTIPOINT(18.601 59.347)",SWE,SESAO,Saltarö,,Y,
"SRID=4326;MULTIPOINT(11.125 58.878)",SWE,SESAT,Saltö,,Y,
